2024-12-27 11:05:09.8629 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:05:09.8764 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:05:09.8764 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:05:09.8861 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:05:09.8934 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:05:09.8955 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:05:09.8966 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735268709, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 424, 'protocol_tail': '0xfe'}
2024-12-27 11:05:09.8978 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:05:09.9008 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:05:09.9135 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:05:09.9135 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:05:09.9156 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:05:09.9357 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:05:09.9367 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:05:09.9533 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:13:13.8645 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:13:13.8786 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:13:13.8786 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:13:13.8874 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:13:13.8970 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:13:13.8980 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269193, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 398, 'protocol_tail': '0xfe'}
2024-12-27 11:13:13.9000 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:13:13.9032 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:13:13.9063 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:13:13.9425 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:13:13.9425 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:13:13.9469 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:13:13.9551 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:13:13.9551 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:13:13.9762 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:13:18.9003 | middleware:40 | INFO | 接口/被调用
2024-12-27 11:13:22.7994 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:13:23.8991 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:15:14.0769 | events:88 | INFO | 关闭引擎，注销所有设备中...
2024-12-27 11:15:14.0769 | device_manager:125 | INFO | 开始注销所有设备......
2024-12-27 11:15:14.0781 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:14.0781 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:14.0791 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:14.0791 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:14.0791 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:14.0791 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:14.0791 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:14.0791 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:14.0802 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:14.0802 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:14.0845 | websocket_connection:109 | INFO | WebSocket连接已断开
2024-12-27 11:15:14.0845 | websocket_connection:96 | WARNING | WebSocket连接已关闭
2024-12-27 11:15:14.0845 | device_manager:138 | INFO | 所有设备注销成功
2024-12-27 11:15:14.0845 | events:90 | INFO | 所有设备已成功注销
2024-12-27 11:15:15.0315 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:15:15.0440 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:15:15.0440 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:15:15.0535 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:15:15.0610 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:15:15.0634 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269315, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 520, 'protocol_tail': '0xfe'}
2024-12-27 11:15:15.0634 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:15:15.0666 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:15:15.0697 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:15:15.0983 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:15:15.0983 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:15:15.1024 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:15:15.1181 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:15:15.1192 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:15:15.1331 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:15:23.6160 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:15:24.1214 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:15:25.2497 | events:88 | INFO | 关闭引擎，注销所有设备中...
2024-12-27 11:15:25.2504 | device_manager:125 | INFO | 开始注销所有设备......
2024-12-27 11:15:25.2504 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:25.2509 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:25.2509 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:25.2514 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:25.2514 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:25.2514 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:25.2519 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:25.2519 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:25.2525 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:15:25.2525 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:15:25.2583 | websocket_connection:109 | INFO | WebSocket连接已断开
